대여소,보관소(,자치구,위도,경도
2301,현대고등학교 건너편,강남구,37.52407074,127.0217896
2302,교보타워 버스정류장(신논현역 3번출구 후면),강남구,37.5055809,127.0242767
2303,논현역 7번출구,강남구,37.51151657,127.0214768
2308,압구정파출소 앞,강남구,37.52930069,127.0355988
2310,청담동 맥도날드 옆(위치),강남구,37.52361298,127.0401764
2325,대치동 버거킹대치점,강남구,37.4986496,127.0593185
2332,선릉역3번출구,강남구,37.50420761,127.0489655
2333,양재역 3번출구 주변,강남구,37.48515701,127.0340729
2334,삼호아파트 2동 ( 간선도로),강남구,37.49375916,127.0458984
2341,일원역 4~5번 출구 사이,강남구,37.4833107,127.0849381
2353,강남구청역 2번출구 뒤,강남구,37.51681137,127.0404739
2375,수서역 1번출구 앞,강남구,37.48735046,127.1009979
2381,언주역 6번출구앞,강남구,37.50636673,127.034523
2385,학동역,강남구,37.51395035,127.0301514
2396,영동3교 북단(우성캐릭터 앞 보도),강남구,37.48574066,127.0510483
2405,청담공원앞 교차로,강남구,37.51871109,127.0508499
2419,"봉은사역 1,2번 출구",강남구,37.51430893,127.0597
3603,삼성역 2번출구,강남구,37.5082016,127.0639648
3628,역삼1동 주민센터,강남구,37.49500275,127.0329437
3640,일원1동 주민센터 앞 사거리,강남구,37.49073029,127.0881119
